IQ,CGPA,Placed
80,9.48,0
130,8.96,1
80,9.08,0
102,8.68,0
92,9.92,0
137,9.62,1
127,8.66,1
95,9.4,0
90,7.08,0
91,7.36,0
113,8.43,1
102,7.82,0
102,8.79,0
127,8.64,1
83,6.06,0
144,8.14,1
110,5.63,0
120,8.3,1
132,6.44,0
105,7.99,0
87,8.38,0
106,6.52,0
133,6.09,0
140,6.87,0
106,8.58,0
116,7.95,1
130,8.33,1
134,6.85,0
119,6.53,0
143,6.35,0
120,6.96,0
140,7.43,0
128,9.64,1
81,6.79,0
130,7.35,0
94,9.74,0
119,9.44,1
82,6.66,0
139,6.58,0
119,8.45,1
93,9.39,0
95,5.5,0
113,8.19,1
123,9.44,1
85,7.68,0
130,9.76,1
90,9.81,0
150,5.64,0
132,7.15,0
115,6.56,0
104,8.65,0
122,9.26,1
114,5.65,0
126,7.36,0
105,5.7,0
83,7.8,0
104,7.22,0
117,7.66,1
113,6.1,0
130,7.16,0
92,7.55,0
150,7.36,0
129,8.06,1
81,5.62,0
105,5.8,0
132,9.16,1
148,8.55,1
101,6.69,0
143,9.11,1
147,5.01,0
120,5.15,0
116,7.07,0
117,9.55,1
129,5.69,0
97,7.35,0
91,8.9,0
137,6.02,0
149,5.13,0
136,5.43,0
84,9.95,0
130,9.0,1
105,7.91,0
124,6.17,0
149,6.71,0
136,7.85,1
105,8.14,0
127,6.87,0
130,6.86,0
133,8.69,1
116,9.0,1
92,6.71,0
95,8.97,0
115,6.75,0
84,6.45,0
116,6.17,0
132,8.58,1
125,7.68,1
112,8.16,1
114,5.21,0
106,8.72,0
